"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\AmirP\chronos\crates\chronos-core\benches\constant_time.rs", "Rust", 10, 1, 3, 14
"c:\Users\AmirP\chronos\crates\chronos-core\src\clock.rs", "Rust", 23, 1, 5, 29
"c:\Users\AmirP\chronos\crates\chronos-core\src\framing.rs", "Rust", 64, 4, 13, 81
"c:\Users\AmirP\chronos\crates\chronos-core\src\gf28.rs", "Rust", 217, 21, 29, 267
"c:\Users\AmirP\chronos\crates\chronos-core\src\handshake.rs", "Rust", 76, 9, 20, 105
"c:\Users\AmirP\chronos\crates\chronos-core\src\handshake_protocol.rs", "Rust", 587, 7, 47, 641
"c:\Users\AmirP\chronos\crates\chronos-core\src\hybrid_route.rs", "Rust", 168, 6, 24, 198
"c:\Users\AmirP\chronos\crates\chronos-core\src\kani_harness.rs", "Rust", 10, 2, 3, 15
"c:\Users\AmirP\chronos\crates\chronos-core\src\kat_tests.rs", "Rust", 10, 2, 2, 14
"c:\Users\AmirP\chronos\crates\chronos-core\src\key_store.rs", "Rust", 184, 5, 18, 207
"c:\Users\AmirP\chronos\crates\chronos-core\src\lib.rs", "Rust", 60, 0, 5, 65
"c:\Users\AmirP\chronos\crates\chronos-core\src\mix_policy.rs", "Rust", 28, 1, 4, 33
"c:\Users\AmirP\chronos\crates\chronos-core\src\pow.rs", "Rust", 131, 10, 24, 165
"c:\Users\AmirP\chronos\crates\chronos-core\src\pow_admission.rs", "Rust", 196, 1, 16, 213
"c:\Users\AmirP\chronos\crates\chronos-core\src\ratchet.rs", "Rust", 48, 2, 10, 60
"c:\Users\AmirP\chronos\crates\chronos-core\src\relay_handler.rs", "Rust", 169, 10, 25, 204
"c:\Users\AmirP\chronos\crates\chronos-core\src\relay_packet.rs", "Rust", 397, 6, 38, 441
"c:\Users\AmirP\chronos\crates\chronos-core\src\route_layer.rs", "Rust", 631, 12, 67, 710
"c:\Users\AmirP\chronos\crates\chronos-core\src\secure_cell.rs", "Rust", 332, 34, 40, 406
"c:\Users\AmirP\chronos\crates\chronos-core\src\session.rs", "Rust", 131, 1, 16, 148
"c:\Users\AmirP\chronos\crates\chronos-core\src\shard_stream.rs", "Rust", 286, 7, 36, 329
"c:\Users\AmirP\chronos\crates\chronos-core\src\sphinx.rs", "Rust", 66, 12, 18, 96
"c:\Users\AmirP\chronos\crates\chronos-core\src\tdm.rs", "Rust", 64, 4, 9, 77
"c:\Users\AmirP\chronos\crates\chronos-core\src\traffic_analysis.rs", "Rust", 176, 5, 16, 197
"c:\Users\AmirP\chronos\crates\chronos-dir\src\api.rs", "Rust", 122, 6, 7, 135
"c:\Users\AmirP\chronos\crates\chronos-dir\src\consensus.rs", "Rust", 111, 7, 17, 135
"c:\Users\AmirP\chronos\crates\chronos-dir\src\consensus_store.rs", "Rust", 175, 6, 20, 201
"c:\Users\AmirP\chronos\crates\chronos-dir\src\main.rs", "Rust", 56, 3, 8, 67
"c:\Users\AmirP\chronos\crates\chronos-dir\src\signed_record.rs", "Rust", 61, 1, 8, 70
"c:\Users\AmirP\chronos\crates\chronos-dir\src\store.rs", "Rust", 145, 1, 10, 156
"c:\Users\AmirP\chronos\crates\chronos-lite\src\config.rs", "Rust", 221, 5, 30, 256
"c:\Users\AmirP\chronos\crates\chronos-lite\src\dpf_store.rs", "Rust", 402, 0, 37, 439
"c:\Users\AmirP\chronos\crates\chronos-lite\src\main.rs", "Rust", 360, 4, 19, 383
"c:\Users\AmirP\chronos\crates\chronos-lite\src\secure_udp.rs", "Rust", 261, 9, 34, 304
"c:\Users\AmirP\chronos\crates\chronos-lite\src\webrtc_turn.rs", "Rust", 42, 0, 5, 47
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\af_xdp_proto.rs", "Rust", 51, 5, 10, 66
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\io_uring_proto.rs", "Rust", 47, 4, 10, 61
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\lib.rs", "Rust", 24, 0, 5, 29
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\ring_model.rs", "Rust", 85, 6, 17, 108
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\timestamping.rs", "Rust", 16, 3, 2, 21
"c:\Users\AmirP\chronos\crates\chronos-sys-dataplane\src\umem.rs", "Rust", 26, 3, 5, 34
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\bindings.rs", "Rust", 22, 2, 4, 28
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\equihash.rs", "Rust", 47, 4, 9, 60
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\hydra_tcp.rs", "Rust", 53, 3, 10, 66
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\imes.rs", "Rust", 50, 3, 11, 64
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\lib.rs", "Rust", 44, 9, 12, 65
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\mobile_power.rs", "Rust", 44, 3, 8, 55
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\stego_ws.rs", "Rust", 55, 3, 12, 70
"c:\Users\AmirP\chronos\crates\chronos-wasm\src\transport.rs", "Rust", 44, 5, 10, 59
"c:\Users\AmirP\chronos\crates\chronosd\src\af_xdp_proto.rs", "Rust", 28, 1, 5, 34
"c:\Users\AmirP\chronos\crates\chronosd\src\cache_resctrl.rs", "Rust", 22, 2, 7, 31
"c:\Users\AmirP\chronos\crates\chronosd\src\config.rs", "Rust", 223, 1, 11, 235
"c:\Users\AmirP\chronos\crates\chronosd\src\dataplane_probe.rs", "Rust", 47, 1, 5, 53
"c:\Users\AmirP\chronos\crates\chronosd\src\io_uring_proto.rs", "Rust", 26, 1, 5, 32
"c:\Users\AmirP\chronos\crates\chronosd\src\main.rs", "Rust", 145, 7, 16, 168
"c:\Users\AmirP\chronos\crates\chronosd\src\metrics.rs", "Rust", 25, 0, 5, 30
"c:\Users\AmirP\chronos\crates\chronosd\src\mixing_engine.rs", "Rust", 62, 4, 9, 75
"c:\Users\AmirP\chronos\crates\chronosd\src\nic_control.rs", "Rust", 44, 4, 4, 52
"c:\Users\AmirP\chronos\crates\chronosd\src\pow_admission.rs", "Rust", 29, 4, 7, 40
"c:\Users\AmirP\chronos\crates\chronosd\src\queue.rs", "Rust", 66, 1, 7, 74
"c:\Users\AmirP\chronos\crates\chronosd\src\socket_tiering.rs", "Rust", 96, 6, 10, 112
"c:\Users\AmirP\chronos\crates\chronosd\src\toeplitz_rss.rs", "Rust", 64, 10, 9, 83
"c:\Users\AmirP\chronos\crates\chronosd\src\udp_relay.rs", "Rust", 1105, 10, 103, 1218
"Total", "-", 8610, 310, 1011, 9931